National Database Number,Field Number,Nmfs Regional Number,Common Name,Genus,Species,Report Status,Examiner Name,Affiliation,Stranding Agreement/Authority,Region,City - from strandings table,County,State,Body of Water,Locality Detail,Latitude,Latitude Units,Latitude Actual/Estimate,Longitude,Longitude Actual/Estimate,How lat/long determined,Restrand,Findings of Human Interaction,Observation Date,Year of Observation,Month of Observation,Day of Observation,How Observed,Observation Date Act/Est,Observation Status,Not Able to Examine,Date of Examination,Year of Examination,Month of Examination,Day of Examination,Condition at Examination,Left at Site,Sex,Age Class,Length,Length Units,Length actual/estimate,Weight,Weight Units,Weight actual/estimate,Necropsied Flag,Necropsy Limited Flag,Necropy Carcass Fresh/Frozen,Date of Necropsy,Year of Necropsy,Month of Necropsy,Day of Necropsy,Stranding Necropsied By,Additional Remarks,Additional Identifiers
NW-2002-1027180,NW-4736,NMFSNW-4736,"Whale, sperm",Physeter,macrocephalus,Validated,Coast Guard,,Unknown,NW,Coos Bay,Coos,OR,,45 nm west of coast,43 26,,,-125.14,,,,N,2002-FEB-20,2002,FEB,20,,,Fresh Dead,N,2002-FEB-20,2002,FEB,20,Advanced Decomposition,N,MALE,,,cm,actual,,kg,N,,,,,,,,,,
MKH2018-002,MKH2018-002,MKH2018-002,"Unidentified Small Cetacean, Porpoise or Dolphin",,,,Maria Roberts,Makah Fisheries Management,Makah Fisheries Management,NW,Neah Bay,Clallam,WA,Pacific Ocean,Hobuck Beach,48.3403,Estimate,,-124.67,Estimate,Internet,,CBD,2018-FEB-8,2018,FEB,8,,,,,2018-FEB-8,2018,FEB,8,,N,N,,,,,,,,,,,,,,,,,
MKH2014-29,MKH2014-29,,"Dolphin, common, short-beaked",Delphinus,delphis,,,,,,,Clallam,WA,,,48.3013,,,-124.67,,,,N,11/10/14,2014,NOV,,,,Dead,,,,,,,,Male,SUBADULT,,,,,,,,,,,,,,,,
NW-2000-1023709,MBHPp20001,NMFSNW-1505,"Porpoise, harbor",Phocoena,phocoena,Validated,Park Ranger,,Fay Bainbridge State Park,NW,Rialto Beach,Clallam,WA,,1/3 mile N of Hole in the Wall,47 57,,,-124.40,,,,N,2000-AUG-12,2000,AUG,12,,,Fresh Dead,N,2000-AUG-19,2000,AUG,19,Advanced Decomposition,N,MALE,,116,cm,actual,,kg,N,,,,,,,,,,
CRC-1616,CRC-1616,,"Whale, gray",Eschrichtius,robustus,,,,,,,Jefferson,WA,,,47.632,,,-124.38,,,,CBD,8/16/17,2017,AUG,,,,Live,,,,,,,,Male,YEARLING,,,,,,,,,,,,,,,,
CRC-833,CRC-833,,"Whale, sperm",Physeter,macrocephalus,,,,,,,Jefferson,WA,,,47.6046,,,-124.37,,,,N,1/11/08,2008,JAN,,,,Dead,,,,,,,,Female,CALF,,,,,,,,,,,,,,,,
CRC-1643,CRC-1643,,Unidentified,unknown,unknown,,,,,,,Grays Harbor,WA,,,47.304,,,-124.27,,,,CBD,,2017,DEC,,,,Dead,,,,,,,,UNKNOWN,ADULT,,,,,,,,,,,,,,,,
PP-NPP-05-01,PP-NPP-05-01,,"Porpoise, harbor",phocoena,phocoena,,Nate Pamplin,Makah Fisheries Management,Makah Fisheries Management,NW,Clallam Bay,Clallam,WA,Strait of Juan de Fuca,West 0.5 mile of Clallam River mouth,48.2566,decimal degrees,Estimate,-124.26,Estimate,Internet,N,CBD,38552,2005,JUL,19,Beach or Land,,,Y,38555,2005,7,22,Moderate Decomposition,N,UNKNOWN,PUP/CALF,,,,,,N,,,,,,,,"Reporting party handed carcass frozen in a bag to Makah Fisheries.. Carcass stored in freezer, not examined.. . ",,
CRC-1618,CRC-1618,,"Porpoise, harbor",Phocoena,phocoena,,,,,,,Grays Harbor,WA,,,47.3014,,,-124.25,,,,CBD,,2017,AUG,,,,Dead,,,,,,,,UNKNOWN,CALF,,,,,,,,,,,,,,,,
NW-2000-1023723,CRC-468,CRC-468,"Whale, gray",Eschrichtius,robustus,Validated,Cascadia Research,,Unknown,NW,Queets,Jefferson,WA,,1 mile south of Queets,47 31,,,-124.21,,,,N,2000-MAY-11,2000,MAY,11,,,Fresh Dead,N,2000-MAY-17,2000,MAY,17,Advanced Decomposition,N,FEMALE,,1240,cm,actual,,kg,Y,,,,,Unknown,,,,,
CRC-1602,CRC-1602,,"Porpoise, harbor",Phocoena,phocoena,,,,,,,Grays Harbor,WA,,,47.1697,,,-124.20,,,,N,1/24/17,2017,JAN,,,,Dead,,,,,,,,Male,CALF,,,,,,,,,,,,,,,,
CRC-1600,CRC-1600,,"Porpoise, harbor",Phocoena,phocoena,,,,,,,Grays Harbor,WA,,,47.1756,,,-124.20,,,,N,7/20/17,2017,JUL,,,,Dead,,,,,,,,Male,ADULT,,,,,,,,,,,,,,,,
CRC-1429,CRC-1429,,"Whale, gray",Eschrichtius,robustus,,,,,,,Grays Harbor,WA,,,47.0782,,,-124.18,,,,Y,8/20/14,2014,AUG,,,,Dead,,,,,,,,Female,YEARLING,,,,,,,,,,,,,,,,
CRC-1605,CRC-1605,,"Porpoise, harbor",Phocoena,phocoena,,,,,,,Grays Harbor,WA,,,47.0431,,,-124.18,,,,CBD,,2017,JUL,,,,Dead,,,,,,,,UNKNOWN,CALF,,,,,,,,,,,,,,,,
CRC-919,CRC-919,,"Porpoise, harbor",Phocoena,phocoena,,,,,,,Grays Harbor,WA,,,46.933,,,-124.18,,,,CBD,2/17/09,2009,FEB,,,,Dead,,,,,,,,UNKNOWN,ADULT,,,,,,,,,,,,,,,,
CRC-1626,CRC-1626,,"Porpoise, harbor",Phocoena,phocoena,,,,,,,Grays Harbor,WA,,,46.9335,,,-124.17,,,,N,2017-SEP-17,2017,SEP,,,,Dead,,,,,,,,Female,CALF,,,,,,,,,,,,,,,,
CRC-1627,CRC-1627,,"Porpoise, harbor",Phocoena,phocoena,,,,,,,Grays Harbor,WA,,,46.977,,,-124.17,,,,N,10/12/17,2017,OCT,,,,Dead,,,,,,,,Female,CALF,,,,,,,,,,,,,,,,
CRC-514,CRC-514,,"Porpoise, harbor",Phocoena,phocoena,,,,,,,Grays Harbor,WA,,,46.85,,,-124.11,,,,CBD,7/10/04,2004,JUL,,,,Dead,,,,,,,,Male,CALF,,,,,,,,,,,,,,,,
CRC-1625,CRC-1625,,"Whale, humpback",Megaptera,novaeangliae,,,,,,,Pacific,WA,,,46.7677,,,-124.11,,,,CBD,2017-SEP-21,2017,SEP,,,,Dead,,,,,,,,UNKNOWN,YEARLING,,,,,,,,,,,,,,,,
CRC-1646,CRC-1646,,"Porpoise, harbor",Phocoena,phocoena,,,,,,,Grays Harbor,WA,,,48.837,,,-124.11,,,,CBD,1/1/18,2017,DEC,,,,Dead,,,,,,,,Male,ADULT,,,,,,,,,,,,,,,,
CRC-1428,CRC-1428,14NWR08047,"Whale, humpback",Megaptera,novaeangliae,Validated,Dyanna Lambourn,WDFW/MMI,WDFW/MMI,NW,Grayland,Pacific,WA,Pacific Ocean,1/4 Mi S of Cranberry Beach Road,46.7746,,,-124.11,,,,Y,8/18/14,2014,AUG,,,,Dead,,,,,,,,Male,CALF,,,,,,,,,,,,,,,,
CRC-1384,CRC-1384,14NWR06045,"Whale, humpback",Megaptera,novaeangliae,Validated,Dyanna Lambourn,WDFW/MMI,WDFW/MMI,NW,Grayland,Grays Harbor,WA,Pacific Ocean,1.5 m N of cranberry Rd,46.8157,,,-124.10,,,,Y,6/25/14,2014,JUN,,,,Dead,,,,,,,,Male,CALF,,,,,,,,,,,,,,,,
CRC-1603,CRC-1603,,"Porpoise, harbor",Phocoena,phocoena,,,,,,,Pacific,WA,,,46.7934,,,-124.10,,,,CBD,,2017,JUL,,,,Dead,,,,,,,,Male,SUBADULT,,,,,,,,,,,,,,,,
CRC-1525,CRC-1525,,"Porpoise, harbor",Phocoena,phocoena,,,,,,,Pacific,WA,,,46.77,,,-124.10,,,,CBD,6/3/16,2016,JUN,,,,Dead,,,,,,,,Male,CALF,,,,,,,,,,,,,,,,
CRC-1606,CRC-1606,,"Porpoise, harbor",Phocoena,phocoena,,,,,,,Pacific,WA,,,46.7447,,,-124.09,,,,CBD,,2017,JUL,,,,Dead,,,,,,,,UNKNOWN,SUBADULT,,,,,,,,,,,,,,,,
CRC-757,CRC-757,,"Porpoise, harbor",,,,,,,,,,WA,,,46.3515,,,-124.06,,,,N,7/23/06,2006,JUL,,,,Dead,,,,,,,,Female,CALF,,,,,,,,,,,,,,,,
NW-2002-1000241,WJM-2002-1,02NWR08002,"Whale, gray",Eschrichtius,robustus,Validated,"Other (see ""Remarks"")",Police,Police,NW,Ocean Shores,Grays Harbor,WA,Pacific Ocean,near Chance de la Mer Approach; Ocean City State Park,46.3,decimal degrees,,-124.03,,,N,Y,2002-AUG-03,2002,AUG,3,Beach or Land,,Fresh Dead,N,2002-AUG-07,2002,AUG,7,Moderate Decomposition,N,MALE,ADULT,1160,cm,actual,,kg,Y,2002-AUG-07,2002,AUG,7,"M., Bill",first reported by Terry Carlson of the Ocean City Park Service; later reported by Local Police,,,,
MKH2012-012,MKH2012-012,,"Porpoise, harbor",Phocoena,phocoena,,,,,,,Clallam,WA,,,48.1418,,,-123.44,,,,N,5/14/12,2012,MAY,,,,Dead,,,,,,,,Male,ADULT,,,,,,,,,,,,,,,,
2015-SJ041,2015-SJ041,,"Porpoise, harbor",Phocoena,phocoena,,,,,,Gossip Island,San Juan,WA,,,48.6634,,,-123.17,,,,N,2015-AUG-25,2015,MAY,25,,,,,,,,,,,UNKNOWN,UNKNOWN,,,,,,,,,,,,,,,,
2017-SJ043,2017-SJ043,,"Porpoise, harbor",Phocoena,phocoena,,,,,,San Juan Island,San Juan,WA,,,48.5423,,,-123.16,,,,N,2017-SEP-11,2017,SEP,11,,,,,,,,,,,UNKNOWN,UNKNOWN,,,,,,,,,,,,,,,,
CRC-601,CRC-601,,"Porpoise, harbor",Phocoena,phocoena,,,,,,,San Juan,WA,,,48.4817,,,-123.15,,,,N,7/11/05,2005,JUL,,,,Dead,,,,,,,,Female,SUBADULT,,,,,,,,,,,,,,,,
MBH010713Oo,MBH010713Oo,,"Whale, killer",Orcinus,orca,,,,,,,Clallam,WA,,,48.181,,,-123.12,,,,CBD,1/7/13,2013,JAN,,,,Dead,,,,,,,,Male,CALF,,,,,,,,,,,,,,,,
2012-SJ005,2012-SJ005,12NWR05071,"Porpoise, harbor",Phocoena,phocoena,Validated,Amy Traxler,Whale Museum,San Juan County Marine Mammal Stranding Network,NW,San Juan Island,San Juan,WA,Pacific Ocean,Mar Vista Resort,48.4781,,,-123.07,,,,N,5/5/12,2012,MAY,,,,Dead,,,,,,,,Female,ADULT,,,,,,,,,,,,,,,,
NW-2011-1139928,010410-1,,"Porpoise, harbor",Phocoena,phocoena,,Port Townsend Marine Science Center,port townsend marine science center,Port Townsend Marine Science Center/ East Jefferson Co. MMSN,NW,Near Sequim,Clallam,WA,Pacific Ocean,"Sequim Bay, 100yrds N of standpipe, pt williams beach",48.0528,,,-123.03,Actual,GPS,,CBD,2010-Jan-4,2010,JAN,4,Beach or Land,,Fresh Dead,n,2010-Jan-4,2010,JAN,4,Fresh Dead,n,FEMALE,subadult,45,in,,,,,,,,,,,,,,
CRC-1620,CRC-1620,,"Dolphin, common, long-beaked",Delphinus,capensis,,,,,,,Thurston,WA,,,47.046,,,-122.99,,,,CBD,2017-SEP-2,2017,SEP,,,,Dead,,,,,,,,Male,ADULT,,,,,,,,,,,,,,,,
CRC-1615,CRC-1615,,"Porpoise, harbor",Phocoena,phocoena,,,,,,,Thurston,WA,,,47.1627,,,-122.80,,,,N,8/16/17,2017,AUG,,,,Dead,,,,,,,,Male,CALF,,,,,,,,,,,,,,,,
NW-2011-1139929,072909-05,,"Porpoise, harbor",Phocoena,phocoena,,Port Townsend Marine Science Center,Port Townsend Marine Science Center,Port Townsend Marine Science Center,NW,Port Townsend,Jefferson,WA,Pacific Ocean,Old Ft Townsend State Park,48.077727,decimal degrees,estimate,-122.79,estimate,internet,,N,2009-Jul-29,2009,JUL,29,Beach or Land,,Fresh Dead, ,2009-Jul-29,2009,JUL,29,Fresh Dead,,UNKNOWN,SUBADULT,,,,,,,,,,,,,,,,
NW-2011-1139927,EJC_2016_029,,"Porpoise, harbor",Phocoena,phocoena,,Port Townsend Marine Science Center,port townsend marine science center,Port Townsend Marine Science Center/ East Jefferson Co. MMSN,NW,Port Townsend,Jefferson,WA,Pacific Ocean,Point Wilson,48.1442,decimal degrees,estimate,-122.75,estimate,internet,n,Y,2016-Nov-17,2017,NOV,17,Beach or Land,,Fresh Dead,n,2016-Nov-17,2017,NOV,19,Fresh Dead,Y,FEMALE,UNKNOWN,123,cm,actual,,,,n,,,,,,,,"Carcass was dragged above high tide line by passerby on 11/19\2017 , and covered with driftwood. We removed the driftwood to complete this form, at 3:30pm some hours afterward carcass was left uncovered body marked with green x's both sides ",
07Pp21AugWH-06,07Pp21AugWH-06,,"Porpoise, harbor",Phocoena,phocoena,,,,,,,Whatcom,WA,,,48.937,,,-122.75,,,,N,8/21/07,2007,AUG,,,,Dead,,,,,,,,Female,CALF,,,,,,,,,,,,,,,,
NW-2011-1139930,080509-07,,"Porpoise, harbor",Phocoena,phocoena,,Port Townsend Marine Science Center,Port Townsend Marine Science Center,Port Townsend Marine Science Center,NW,Chimacum,Jefferson,WA,Pacific Ocean,Oak Bay,48.020433,decimal degrees,estimate,-122.73,estimate,internet,n,CBD,2009-Aug-05,2009,AUG,5,Beach or Land,,Fresh Dead,n,2009-Aug-05,2009,AUG,5,Fresh Dead,n,UNKNOWN,pup/calf,100,cm,actual,,,,,,,,,,,,"Kristin Wilkinson called Chrissy to relay a report of a dead porpoise at Oak Bay. Dean reported that the animal was freshly dead, but had a few seagulls pecking at it. After talking with Jesse Huggins, it was decided to collect the animal if it was fresh dead.",
EJC-2011-15,EJC-2011-15,,"Porpoise, harbor",Phocoena,phocoena,,,,,,,Jefferson,WA,,,48.0183,,,-122.70,,,,CBD,10/21/11,2011,OCT,,,,Dead,,,,,,,,Male,ADULT,,,,,,,,,,,,,,,,
2006-SJ0009,2006-SJ0009,,"Whale, fin",Balaenoptera,physalus,,,,,,Lummi Island,San Juan,WA,,,48.7608,,,-122.67,,,,N,2006-MAY-14,2006,MAY,14,,,,,,,,,,,UNKNOWN,UNKNOWN,,,,,,,,,,,,,,,,
NW-2018-1207816,18Pp24AugWH-1,18NWR08159,"Porpoise, harbor",Phocoena,phocoena,OPEN,VIctoria Souze,Whatcom Marine Mammal Stranding Network,Whatcom Marine Mammal Stranding Network,NW,Guemes Island,Whatcom,WA,Pacific Ocean,Guemes Island,48.568,decimal degrees,actual,-122.65,actual,Internet,,CBD,2018-AUG-24,2018,AUG,24,Beach or Land,,Alive,,2018-AUG-24,2018,AUG,24,Alive,Y,UNKNOWN,PUP/CALF,24,in,estimate,,,N,,,,,,,,,,
11Er10AprWI-01,11Er10AprWI-01,,"Whale, gray",Eschrichtius,robustus,,,,,,,Island,WA,,,48.0417,,,-122.60,,,,CBD,4/10/11,2011,APR,,,,Dead,,,,,,,,Female,ADULT,,,,,,,,,,,,,,,,
10Er11AprSK-01,10Er11AprSK-01,,"Whale, gray",Eschrichtius,robustus,,,,,,,Skagit,WA,,,48.426,,,-122.56,,,,Y,4/13/10,2010,APR,,,,Dead,,,,,,,,Female,ADULT,,,,,,,,,,,,,,,,
12Er22AprCI-01,12Er22AprCI-01,12NWR04004,"Whale, gray",Eschrichtius,robustus,Validated,Sandy Dubpernell,Central Puget Sound Marine Mammal Stranding Network,Central Puget Sound Marine Mammal Stranding Network,NW,Camano Island,Island,WA,,,48.285,,,-122.56,,,,N,4/22/12,2012,APR,,,,Dead,,,,,,,,Male,SUBADULT,,,,,,,,,,,,,,,,
09Er27AprWI-01,09Er27AprWI-01,,"Whale, gray",Eschrichtius,robustus,,,,,,,Island,WA,,,48.2805,,,-122.56,,,,CBD,4/27/09,2009,APR,,,,Dead,,,,,,,,Male,ADULT,,,,,,,,,,,,,,,,
CRC-1561,CRC-1561,,"Porpoise, harbor",Phocoena,phocoena,,,,,,,Kitsap,WA,,,47.414,,,-122.54,,,,CBD,9/3/16,2016,SEP,,,,Dead,,,,,,,,Male,CALF,,,,,,,,,,,,,,,,
07-WC-001,07-WC-001,,"Porpoise, harbor",Phocoena,phocoena,,,,,,,Whatcom,WA,,,48.7714,,,-122.53,,,,N,1/22/07,2007,JAN,,,,Dead,,,,,,,,Male,ADULT,,,,,,,,,,,,,,,,
CRC-1383,CRC-1383,14NWR06040,"Porpoise, harbor",Phocoena,phocoena,Validated,Dyanna Lambourn,WDFW/MMI,WDFW/MMI,NW,Bainbridge Island,Kitsap,WA,Puget Sound,"15550 Broon, Pt Madison",47.7047,,,-122.53,,,,CBD,6/22/14,2014,JUN,,,,Dead,,,,,,,,Female,SUBADULT,,,,,,,,,,,,,,,,
10Er12AprSK-02,10Er12AprSK-02,,"Whale, gray",Eschrichtius,robustus,,,,,,,Skagit,WA,,,48.5772,,,-122.52,,,,N,4/12/10,2010,APR,,,,Dead,,,,,,,,Male,ADULT,,,,,,,,,,,,,,,,
12Pp06NovWI-14,12Pp06NovWI-14,12NWR11001,"Porpoise, harbor",Phocoena,phocoena,Validated,Sandy Dubpernell,Central Puget Sound Marine Mammal Stranding Network,Central Puget Sound Marine Mammal Stranding Network,NW,Whidbey Island,Island,WA,Pacific Ocean,"Useless Bay, approximately 100 yards from the public beach access/parking lot at Double Bluff Beach.",47.9815,,,-122.51,,,,Y,11/6/12,2012,NOV,,,,Dead,,,,,,,,Female,SUBADULT,,,,,,,,,,,,,,,,
CRC-1601,CRC-1601,,"Porpoise, harbor",Phocoena,phocoena,,,,,,,Kitsap,WA,,,47.799,,,-122.49,,,,CBD,7/23/17,2017,JUL,,,,Dead,,,,,,,,Female,CALF,,,,,,,,,,,,,,,,
CRC-1640,CRC-1640,,"Porpoise, harbor",Phocoena,phocoena,,,,,,,King,WA,,,47.4803,,,-122.48,,,,Y,11/1/17,2017,NOV,,,,Dead,,,,,,,,Female,SUBADULT,,,,,,,,,,,,,,,,
CRC-756,CRC-756,,"Whale, gray",Eschrichtius,robustus,,,,,,,Island,WA,,,47.9353,,,-122.45,,,,N,7/21/06,2006,JUL,,,,Dead,,,,,,,,Male,YEARLING,,,,,,,,,,,,,,,,
CRC-1471,CRC-1471,,"Dolphin, Risso's",Grampus,griseus,,,,,,,Skagit,WA,,,48.5888,,,-122.43,,,,N,3/25/15,2015,MAR,,,,Dead,,,,,,,,Male,ADULT,,,,,,,,,,,,,,,,
CRC-1279,CRC-1279,13NWR08015,"Porpoise, harbor",Phocoena,phocoena,Validated,Robin Lindsey,West Seattle Seal Sitters,West Seattle Seal Sitters,NW,Seattle,King,WA,Puget Sound,"Weather watch Park, West Seattle",47.5674,,,-122.41,,,,CBD,8/2/13,2013,AUG,,,,Dead,,,,,,,,Male,CALF,,,,,,,,,,,,,,,,
CRC-1297,CRC-1297,13NWR09035,"Porpoise, harbor",Phocoena,phocoena,Validated,Robin Lindsey,West Seattle Seal Sitters,West Seattle Seal Sitters,NW,Seattle,King,WA,Puget Sound,W seattle private beach,47.5259,,,-122.39,,,,CBD,9/9/13,2013,SEP,,,,Dead,,,,,,,,Male,CALF,,,,,,,,,,,,,,,,
2011-MAST-003,2011-MAST-003,11NWR05058,"Porpoise, Dall's",Phocoenoides,dalli,Validated,Dyanna Lambourn,WDFW/MMI,WDFW/MMI,NW,Des Moines,King,WA,Puget Sound,Whaler's condos: 22989 marine drive South,47.3953,,,-122.33,,,,CBD,5/18/11,2011,MAY,,,,Dead,,,,,,,,Male,ADULT,,,,,,,,,,,,,,,,
10-SN-014,10-SN-014,,"Whale, gray",Eschrichtius,robustus,,,,,,,Snohomish,WA,,,47.9596,,,-122.26,,,,CBD,7/8/10,2010,JUL,,,,Live,,,,,,,,Male,ADULT,,,,,,,,,,,,,,,,
NW-2005-1044835,CRC-538,05NWR04014,"Whale, gray",Eschrichtius,robustus,Validated,Cascadia Research,Cascadia Research,Cascadia Research,NW,Whidbey Island,Island,WA,Puget Sound,Sandy Point dock,48.0205,deg/min/sec,actual,122.23,,GPS,N,Y,2005-APR-18,2005,APR,18,Floating,,Fresh Dead,N,2005-APR-19,2005,APR,19,Fresh Dead,N,MALE,YEARLING,756,cm,actual,,,,Y,,,2005-APR-19,2005,APR,19,Cascadia and others,Death likely by trauma from blunt object colliding with whale compounded by severe emaciation.,WI-18Apr05-ER-1; CPSMMSN # 05Er18AprWI-01
NW-2006-1060677,06Er21JulWI-01,06NWR07047,"Whale, gray",Eschrichtius,robustus,Validated,Sandy Dubpernell,Central Puget Sound Marine Mammal Stranding Network,Central Puget Sound Marine Mammal Stranding Network,NW,Clinton,Island,WA,Puget Sound,Maxwelton Beach,47.5612,decimal degrees,actual,122.27,actual,GPS,N,N,2006-JUL-21,2006,JUL,21,Floating,,Fresh Dead,N,2006-JUL-21,2006,JUL,21,Fresh Dead,N,MALE,SUBADULT,904,cm,actual,7000,lb,estimate,Y,,,2006-JUL-23,2006,JUL,23,"S.Norman, S.Raverty",,
NW-2006-1061049,06Pp08SepWI-05,06NWR09017,"Porpoise, harbor",Phocoena,phocoena,Validated,Sue Murphy,Central Puget Sound Marine Mammal Stranding Network,Central Puget Sound Marine Mammal Stranding Network,NW,Clinton,Island,WA,Puget Sound,"In front of 2592 Sunlight Beach Road, Useless Bay, Whidbey Island",47.59,deg/min/sec,estimate,122.28,estimate,Map,N,CBD,2006-SEP-08,2006,SEP,8,,,Alive,N,2006-SEP-08,2006,SEP,8,Alive,N,MALE,UNKNOWN,129,cm,actual,24,kg,actual,Y,,,2006-SEP-09,2006,SEP,9,"Dr. Norman, Spehar, Klope","Observed Harbor Porpoise rolling around in the surf at the water's edge. Earlier it had been deposited by high tide approximately 12 feet up onto the beach, per neighbors. They (neighbors) carried it back into the water, but it returned to the water's edge. SD observed it rolling around in the surf on it's sides and often on it's back, making not attempt to right itself. It would take an occasional breath/blow when it's blowhole was out of the water. Expecting the animal to die before long, SD secsecured it with a slack rope from the flukes to driftwood. At 8:30pm, a neighborcalled to say it was now exposed on the beach, but still breathing. Plans were made to collect the carcass at 7:30am 9/9/06. MK and SD were at the site at 7:30am 9/9/06. The porpoise was still breathing, but in distress. It was wrapped in a tarp and trasported to Penn Cove Veterinary Clinic where it was euthanized by L. Gustafson, DVM, at 8:30 am. The animal showed wrinkled skin. Blood was drawn, post euthanasia. the necropsy was performed by Dr. S. Norman, C. Spehar, M. Klope, and S. Dubpernell, at 10:00am. Samples were taken for Dr. Stephen Raverty, J. Calambokidis, B. Hanson, and the tissue bank.",
NW-2016-1193807,16Oo17JulWH-2,16NWR07146,"Porpoise, harbor",Phocoena,phocoena,OPEN,Andrew Crowser,,Whatcom Marine Mammal Stranding Network,NW,Bow,Skagit,WA,Pacific Ocean,Samish Island Taylor Shellfish,48.3425,decimal degrees,actual,122.29,actual,Internet,N,CBD,2016-JUL-17,2016,JUL,17,,,Advanced Decomposition,N,2016-JUL-17,2016,JUL,17,Advanced Decomposition,N,UNKNOWN,SUBADULT,36,in,actual,,,,N,,,,,,,,,
NW-2016-1193806,16Pp17MarWH-1,16NWR03055,"Porpoise, harbor",Phocoena,phocoena,OPEN,Alysha Elsby,,Whatcom Marine Mammal Stranding Network,NW,Bow,Skagit,WA,Pacific Ocean,Samish Island at Taylor Shellfish,48.3425,decimal degrees,estimate,122.29,estimate,Internet,N,CBD,2016-MAR-17,2016,MAR,17,Beach or Land,,Moderate Decomposition,N,2016-MAR-17,2016,MAR,17,Moderate Decomposition,N,MALE,ADULT,50,in,actual,130,lb,actual,Y,complete,fresh,2016-MAR-17,2016,MAR,17,Alysha Elsby LVT,,
NW-2006-1060799,06Pp25JulWH-01,06NWR07071,"Porpoise, harbor",Phocoena,phocoena,Validated,Sue Murphy,Central Puget Sound Marine Mammal Stranding Network,Central Puget Sound Marine Mammal Stranding Network,NW,Larrabee State Park Bellingham,Whatcom,WA,Bellingham Bay,Just east of the boat launch at Wildcat Cove. At the base of rock wall.,48.39221,deg/min/sec,actual,122.30,actual,GPS,N,CBD,2006-JUL-25,2006,JUL,25,Beach or Land,,Fresh Dead,N,2006-JUL-25,2006,JUL,25,Fresh Dead,N,FEMALE,PUP/CALF,82.5,cm,actual,7.35,kg,actual,Y,,,2006-JUL-26,2006,JUL,26,Dr. Stephanie Norman,"No visible signs of trauma outside or inside the carcass. The calf appears to be full term, was able to take a breath and drink mother's milk. Unable to determine cause of death. Necropsy performed by Dr. Stephanie Norman, with blood and tissue samples sent to Dr. Stephen Raferty, John c. and Brad Hanson. (See Necropsy Collection Form - attached)",
NW-2009-1098987,09-SN-012,09NWR07036,"Porpoise, harbor",Phocoena,phocoena,Validated,Unknown Unknown,,NMFS,NW,Mukilteo,Snohomish,WA,Pacific Ocean,Mkilteo state park south of picnic area,47.943333,decimal degrees,actual,122.31,actual,Internet,N,CBD,2009-JUL-06,2009,JUL,6,,,Alive,N,2009-JUL-06,2009,JUL,6,Alive,N,UNKNOWN,PUP/CALF,32,in,estimate,14,lb,estimate,N,,,,,,,,Additional remarks on file with level-A data,
NW-2006-1061015,06Pp13SepWH-05,06NWR09018,"Porpoise, harbor",Phocoena,phocoena,Validated,Sue Murphy,Central Puget Sound Marine Mammal Stranding Network,Central Puget Sound Marine Mammal Stranding Network,NW,Bellingham,Whatcom,WA,Bellingham Bay,"300 yrds NW of Squalicum Creek, in Little Squalicum Park",48.45816,deg/min/sec,actual,122.31,actual,GPS,N,CBD,2006-SEP-13,2006,SEP,13,Beach or Land,,Moderate Decomposition,N,2006-SEP-13,2006,SEP,13,Moderate Decomposition,N,MALE,ADULT,144.8,cm,actual,37.5,kg,actual,Y,,,2006-SEP-14,2006,SEP,14,Dr. Norman & S. Murphy,carcass scavenged from right lateral mandible down to bone. right eye missing. See necropsy results attached to level A in Seattle,
NW-2007-1064247,07-KT-004,07NWR01007,"Porpoise, unidentified phocoenidae",,,Validated,Dyanna Lambourn,WDFW/MMI,Washington Department of Fish and Wildlife,NW,View Park,Kitsap,WA,Colvos Passage,View Park Road North of the pilings,47.29,deg/min/sec,estimate,122.31,estimate,Map,N,N,2007-JAN-30,2007,JAN,30,Beach or Land,,Fresh Dead,Y,,,,,,N,UNKNOWN,UNKNOWN,48,in,estimate,65,kg,estimate,N,,,,,,,,"First seen by RP on 1/30/07, reported to WDFW MMI on 2/2/07, went out on 2/3/07 to locate and could not find. Believed to be a harbor porpoise.",
NW-2007-1070477,07Pp21JanWH-01,07NWR01036,"Porpoise, harbor",Phocoena,phocoena,Validated,Sandy Dubpernell,Central Puget Sound Marine Mammal Stranding Network,Central Puget Sound Marine Mammal Stranding Network,NW,Bellingham,Whatcom,WA,Bellingham Bay,on beach due west of Locust Dr,48.46287,decimal degrees,actual,122.32,actual,GPS,N,CBD,2007-JAN-20,2007,JAN,20,Beach or Land,,Fresh Dead,N,2007-JAN-21,2007,JAN,21,Fresh Dead,N,FEMALE,ADULT,157,cm,actual,70,lb,estimate,N,,,,,,,,severl scrape wounds from other animals. Large hole on left side of skull that has been bird-pecked down to bone.,Mariann Carrasco
NW-2008-1081445,08Pp02AprWH-07,08NWR04024,"Porpoise, harbor",Phocoena,phocoena,Validated,Central Puget Sound Mammal Stranding,NOAA Fisheries,NOAA Fisheries,NW,Bellingham,Whatcom,WA,Pacific Ocean,"Bellingham Bay, Cliffside Beach, just south east of Cliffside Dr.",48.46599,decimal degrees,actual,122.32,actual,GPS,N,CBD,2008-APR-02,2008,APR,2,,,Advanced Decomposition,N,2008-APR-02,2008,APR,2,Advanced Decomposition,N,FEMALE,ADULT,70,in,actual,150,lb,estimate,N,,,,,,,,,
