County,National.Database.Number,Field.Number,Nmfs.Regional.Number,Common.Name,Genus,Species,Report.Status,Examiner.Name,Affiliation,Stranding.Agreement.Authority,Region,City,State,Body.of.Water,Locality.Detail,Latitude,Latitude.Units,Latitude.Actual.Estimate,Longitude,Longitude.Actual.Estimate,How.lat.long.determined,Restrand,Findings.of.Human.Interaction,Observation.Date,Year.of.Observation,Month.of.Observation,Day.of.Observation,How.Observed,Observation.Date.Act.Est,Observation.Status,Not.Able.to.Examine,Date.of.Examination,Year.of.Examination,Month.of.Examination,Day.of.Examination,Condition.at.Examination,Left.at.Site,Sex,Age.Class,Length,Length.Units,Length.actual.estimate,Weight,Weight.Units,Weight.actual.estimate,Necropsied.Flag,Necropsy.Limited.Flag,Necropy.Carcass.Fresh.Frozen,Date.of.Necropsy,Year.of.Necropsy,Month.of.Necropsy,Day.of.Necropsy,Stranding.Necropsied.By,Additional.Remarks,Additional.Identifiers,Cetacean.Common.Name,Water.Body,mean_lat,mean_long,Long_error,Lat_error,long_corr,lat_corr
Clallam,NW-2004-1046493,Pd-NPP-04-01,04NWR07112,"Porpoise, Dalls",Phocoenoides,dalli,Validated,Agency Biologist,Makah Fisheries Management,Makah Fisheries Management,NW,Neah Bay,WA,Strait of Juan de Fuca,.5 mile S of mouth of Sooes River on Sooes Beach,48.187,decimal minutes,actual,-124.4,actual,GPS,N,N,2004-JUL-18,2004,JUL,18,Beach or Land,NA,Fresh Dead,N,2004-JUL-20,2004,JUL,20,Fresh Dead,N,Female,Adult,182,cm,actual,NA,NA,NA,Y,NA,NA,2004-JUL-20,2004,JUL,20,"Pamplin, N.",died from dystocia; calf flukes; half body length exposed; calf - male; 101 cm long,NA,Dalls porpoise,Inland_WA,48.14144159,-124.1882836,0.211716358,-0.04555841,-124.4,48.187
Clallam,NW-2005-1041583,MBHPd04-01,02NWR05003,"Porpoise, Dalls",Phocoenoides,dalli,Validated,Agency Biologist,Olympic Coast National Marine Sanctuary,Olympic Coast National Marine Sanctuary,NW,Port Angeles,WA,Strait of Juan de Fuca,east of Morse Creek,NA,NA,NA,NA,NA,NA,N,N,2002-MAY-12,2002,MAY,12,Beach or Land,NA,Moderate Decomposition,N,2002-MAY-12,2002,MAY,12,Moderate Decomposition,N,Unid,Unid,174,in,estimate,NA,NA,Y,2004-DEC-03,2004,DEC,3,"Walker, Hanson, Gearin",NA,NA,NA,NA,NA,Dalls porpoise,Inland_WA,48.14144159,-124.1882836,NA,NA,-124.1882836,48.14144159
Clallam,NW-2004-1031323,04-CM-060,04NWR07008,"Porpoise, Dalls",Phocoenoides,dalli,Validated,Agency Biologist,Olympic Coast National Marine Sanctuary,Olympic Coast National Marine Sanctuary,NW,Joyce,WA,Strait of Juan de Fuca,Whiskey Creek Resort,NA,NA,NA,NA,NA,NA,NA,N,2004-JUL-17,2004,JUL,17,Beach or Land,NA,Alive,N,2004-JUL-19,2004,JUL,19,Fresh Dead,N,Female,Subadult,158,cm,actual,150,lb,estimate,Y,NA,NA,2004-JUN-19,2004,JUN,19,"Antrim, Levine, Blackie",NA,NA,Dalls porpoise,Inland_WA,48.14144159,-124.1882836,NA,NA,-124.1882836,48.14144159
Clallam,NW-2006-1058221,06-CM-011,06NWR04018,"Porpoise, harbor",Phocoena,phocoena,Validated,Agency Biologist,Olympic Coast National Marine Sanctuary,Olympic Coast National Marine Sanctuary,NW,Port Angeles,WA,Strait of Juan de Fuca,Ediz Hook,NA,NA,NA,NA,NA,NA,N,CBD,2006-APR-10,2006,APR,10,NA,NA,Fresh Dead,N,2006-APR-24,2006,APR,24,Advanced Decomposition,N,Unid,Unid,0,cm,estimate,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,originally reported fresh dead by citizen on 4-10-06; no response at that time; Ed Bowlby (OCNMS biologist) examined animal on 4-24-06 (very decomposed),NA,Harbor porpoise,Inland_WA,48.14144159,-124.1882836,NA,NA,-124.1882836,48.14144159
Clallam,NW-2015-1175494,15-CM-017,15NWR08018,"Porpoise, harbor",Phocoena,phocoena,Validated,Kristin Wilikinson,NOAA Fisheries,NOAA Fisheries,NW,Port Angeles,WA,Pacific Ocean,Salt Creek Recreational Area (Strait of Juan de Fuca),48.161936,decimal degrees,estimate,-123.707258,estimate,Internet,N,CBD,2015-AUG-01,2015,AUG,1,Beach or Land,NA,Moderate Decomposition,Y,NA,NA,NA,NA,NA,N,Unid,Unid,36,in,estimate,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,Reported to stranding network on 8/20 by COASST volunteer who found the dead porpoise while conducting a dead bird survey. Only information was that it was 3' and the head was detached and was laying near the carcass.,NA,Harbor porpoise,Inland_WA,48.14144159,-124.1882836,-0.481025642,-0.02049441,-123.707258,48.161936
Clallam,NW-2018-1202918,CRC-1656,18NWR05018,"Whale, gray",Eschrichtius,robustus,Validated,John Calambokidis,Cascadia Research,Cascadia Research,NW,Destruction Island,WA,Pacific Ocean,20 miles offshore La Push,46.6725,decimal degrees,actual,-124.9185,actual,GPS,N,Y,2018-MAY-08,2018,MAY,8,Swimming,NA,Alive,Y,2018-MAY-08,2018,MAY,8,Alive,N,Unid,Yearling,800,cm,estimate,0,NA,N,NA,NA,NA,NA,NA,"Live entangled, partially disentangled on 09-May-18. 18 May 18, dead whale photograhed floating 20 miles offshore in an area known as ¿The Prairie¿. Matched to this whale via markings on pec fin. 26 May 18, dead whale reported at tip of Ledbetter Point, response by PSU. Field ID assigned PSU 18-05-27 Er. Matched to this whale via markings on pec fin and embedded line on tailstock.. . Body in ""C"" shape, with flukes held 15-20 feet down. Animal unable to dive, appears to have a pneumothorax. Gear deeply embedded into tailstock.. Live and entangled in crab gear. Line deeply embedded in tailstock.",NA,NA,NA,NA,Gray whale,Inland_WA,48.14144159,-124.1882836,0.730216358,1.46894159,-124.9185,48.14144159
Clallam,NW-2015-1176907,JDF03AUG15A,15NWR09013,"Porpoise, harbor",Phocoena,phocoena,Validated,Public,Feiro Marine Life Center,Feiro Marine Life Center,NW,Port Angeles,WA,Pacific Ocean,On Ediz Hook,48.142111,decimal degrees,estimate,-123.430286,estimate,Internet,N,N,2015-AUG-03,2015,AUG,3,Beach or Land,NA,Fresh Dead,Y,2015-AUG-03,2015,AUG,3,Fresh Dead,N,Unid,Unid,40,in,estimate,NA,kg,estimate,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,Harbor porpoise,Inland_WA,48.14144159,-124.1882836,-0.757997642,-0.00066941,-123.430286,48.142111
Clallam,NW-2005-1052389,MBHPd112105,05NWR11006,"Porpoise, Dalls",Phocoenoides,dalli,Validated,B. Hanson,NOAA Fisheries,NOAA Fisheries,NW,Sequim,WA,Strait of Juan de Fuca,.5 mile N of Pt Williams boat ramp,NA,NA,NA,NA,NA,NA,N,CBD,2005-NOV-21,2005,NOV,21,Beach or Land,NA,Moderate Decomposition,N,2005-NOV-23,2005,NOV,23,Moderate Decomposition,N,Female,Adult,81.5,cm,actual,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dalls porpoise,Inland_WA,48.14144159,-124.1882836,NA,NA,-124.1882836,48.14144159
Clallam,NW-2011-1140207,11-CM-011,11NWR05055,"Porpoise, harbor",Phocoena,phocoena,Validated,Public,citizen caller,citizen caller,NW,Elwah,WA,Pacific Ocean,"Straight of Juan de Fuca, West Elwah Beach in front of farthest house west",48.13691,decimal degrees,actual,-123.58225,actual,GPS,N,CBD,2011-MAY-30,2011,MAY,30,Beach or Land,NA,Moderate Decomposition,Y,NA,NA,NA,NA,NA,N,Unid,Unid,0,in,estimate,0,lb,estimate,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,Harbor porpoise,Inland_WA,48.14144159,-124.1882836,-0.606033642,0.00453159,-123.58225,48.13691
Clallam,NW-2012-1151358,MKH2012-047,12NWR12026,"Whale, sperm",Physeter,macrocephalus,Validated,Adrianne Akmajian,Makah Fisheries Management,Makah Fisheries Management,NW,Ozette,WA,Pacific Ocean,0.2 miles south of Cape Alava beach access,48.1636,dd.dddd,estimate,-124.733,estimate,Internet/Software,N,CBD,2012-DEC-10,2012,DEC,10,Beach or Land,NA,Condition Unknown,N,2012-DEC-15,2012,DEC,15,Advanced Decomposition,N,Unid,Subadult,860,cm,estimate,NA,NA,NA,Y,limited,fresh,2012-DEC-15,2012,DEC,15,MFM,"Reported to JS on 10-Dec-12 by Billy Noel- secondhand report of dead whale (reported as sperm whale) and dead dolphins or porpoise on ""Ozette Beach"". AA e-mailed Park Rangers and Jessie Huggins called the Park but no one was available to go confirm report. AA and EH hiked out on Saturday to look for carcass. We assumed it would be at Cape Alava somewhere, so hiked there and went towards Cannonball First. Then we went back South of the Cape Alava beach access and found it about .2 miles from trail. Because of very high tides we were unable to take complete measurements or samples on carcass.",NA,Sperm whale,Inland_WA,48.14144159,-124.1882836,0.544716358,-0.02215841,-124.733,48.1636
Clallam,NW-2000-1023638,ErPJG20001,NMFSNW-1440,"Whale, gray",Eschrichtius,robustus,Validated,P. Gearin,NA,MFS/NMML,NW,Neah Bay,WA,NA,Cape Flattery Green Bank or Cape B arch,NA,NA,NA,NA,NA,NA,NA,N,2000-MAY-26,2000,MAY,26,NA,NA,Fresh Dead,N,2000-JUN-04,2000,JUN,4,Advanced Decomposition,N,Male,Unid,1341,cm,actual,NA,kg,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gray whale,Inland_WA,48.14144159,-124.1882836,NA,NA,-124.1882836,48.14144159
Clallam,NW-2004-1028421,DNG04001,04NWR05012,"Porpoise, harbor",Phocoena,phocoena,Validated,Agency Biologist,USFWS,USFWS,NW,Dungeness NWR,WA,Strait of Juan de Fuca,Dungeness Spit,NA,NA,NA,NA,NA,NA,NA,CBD,2004-MAY-17,2004,MAY,17,Beach or Land,NA,Moderate Decomposition,N,2004-MAY-17,2004,MAY,17,Moderate Decomposition,N,Unid,Adult,177,cm,actual,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,Harbor porpoise,Inland_WA,48.14144159,-124.1882836,NA,NA,-124.1882836,48.14144159
Clallam,NW-2006-1058411,Pp-NPP-06-01,06NWR05033,"Porpoise, harbor",Phocoena,phocoena,Validated,Agency Biologist,Makah Fisheries Management,Makah Fisheries Management,NW,Clallam Bay,WA,Strait of Juan de Fuca,mouth of Clallam River,48.1523,deg/min/sec,actual,-124.15,actual,Internet,N,CBD,2006-MAY-13,2006,MAY,13,Beach or Land,NA,Condition Unknown,N,2006-MAY-18,2006,MAY,18,Advanced Decomposition,N,Unid,Unid,45,in,estimate,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,Harbor porpoise,Inland_WA,48.14144159,-124.1882836,-0.038283642,-0.01085841,-124.15,48.1523
Clallam,NW-2002-1027198,NW-4752,NMFSNW-4752,"Porpoise, Dalls",Phocoenoides,dalli,Validated,NMML,NA,Unknown,NW,Sequim,WA,NA,.5 mile S of Pt. Williams County Park boat ramp,NA,NA,NA,NA,NA,NA,NA,N,2002-APR-23,2002,APR,23,NA,NA,Fresh Dead,N,2002-APR-24,2002,APR,24,Advanced Decomposition,N,Male,Unid,183,cm,actual,NA,kg,actual,Y,NA,NA,NA,NA,NA,NA,Unknown,NA,4752,Dalls porpoise,Inland_WA,48.14144159,-124.1882836,NA,NA,-124.1882836,48.14144159
Clallam,NW-2001-1024227,Dng-01-002,NMFSNW-1979,"Porpoise, harbor",Phocoena,phocoena,Validated,NMFS,NA,Unknown,NW,Port Angeles,WA,NA,Dungeness Spit,NA,NA,NA,NA,NA,NA,NA,N,2001-JAN-07,2001,JAN,7,NA,NA,Fresh Dead,N,2001-JAN-17,2001,JAN,17,Advanced Decomposition,N,Male,Unid,155,cm,actual,350,lb,Y,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,Harbor porpoise,Inland_WA,48.14144159,-124.1882836,NA,NA,-124.1882836,48.14144159
Clallam,NW-2012-1176916,JDF15MAY12A,12NWR05145,"Porpoise, harbor",Phocoena,phocoena,Validated,Bob Campbell,Feiro Marine Life Center,Feiro Marine Life Center,NW,Port Angeles,WA,Pacific Ocean,Salt Creek Estuary,48.163889,decimal degrees,actual,-123.703611,actual,GPS,N,CBD,2012-MAY-15,2012,MAY,15,Beach or Land,NA,Moderate Decomposition,N,2012-MAY-15,2012,MAY,15,Moderate Decomposition,N,Unid,Subadult,131,cm,actual,100,lb,estimate,N,NA,NA,NA,NA,NA,NA,NA,With right side up rib cage visible - 8-10 inch hole. Presumed caused by birds eating the porpoise.,NA,Harbor porpoise,Inland_WA,48.14144159,-124.1882836,-0.484672642,-0.02244741,-123.703611,48.163889
Clallam,NW-2018-1202088,CRC-1648,18NWR02017,"Whale, sperm",Physeter,macrocephalus,Validated,Jessie Huggins,Cascadia Research,Cascadia Research,NW,Olympic National Park,WA,Pacific Ocean,"Shi Shi Beach, near point of Arches",48.2517,decimal degrees,actual,-124.6886,actual,GPS,NA,CBD,2018-FEB-20,2018,FEB,20,Beach or Land,NA,Moderate Decomposition,Y,2018-FEB-24,2018,FEB,24,Moderate Decomposition,NA,Female,Calf,535,cm,actual,0,NA,Y,2018-FEB-24,2018,FEB,24,CRC,"delay in response due to tides and weather. tongue scavenged. Most skin gone. Killer whale rake marks at several locations on the body (4cm tooth spacing), appear healed but hard to tell due to decomposition. Rakes associated with missing tips of flukes and pec fins. Brusing externally visible on whole body anterior to dorsal fin.. . Severe edema and hemorrhage in tissue all around the head and tapering off toward the mid-body. Most significant at base of skull. Blunt force trauma but unable to determine source. Killer whale rake marks also present--appear healed but unable to tell for sure due to decomposition, may have been a predation event.",NA,NA,NA,NA,Sperm whale,Inland_WA,48.14144159,-124.1882836,0.500316358,-0.11025841,-124.6886,48.2517
Clallam,NW-2003-1001443,DNG-03-009,03NWR08001,"Porpoise, harbor",Phocoena,phocoena,Validated,Park Ranger,USFWS,USFWS,NW,Sequim,WA,Strait of Juan de Fuca,Dungeness Spit,NA,NA,N,NA,N,NA,NA,N,2003-AUG-03,2003,AUG,3,NA,NA,Fresh Dead,Y,NA,NA,NA,NA,NA,N,Unid,Calf,89,cm,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,Harbor porpoise,Inland_WA,48.14144159,-124.1882836,NA,NA,-124.1882836,48.14144159
Clallam,NW-2011-1140210,11-CM-015,11NWR06073,"Porpoise, harbor",Phocoena,phocoena,Validated,Public,citizen caller,citizen caller,NW,Sequim,WA,Pacific Ocean,Straight of Juan de Fuca,48.14294,decimal degrees,estimate,-123.57104,NA,NA,N,CBD,2011-JUN-30,2011,JUN,30,Beach or Land,NA,Moderate Decomposition,Y,NA,NA,NA,NA,NA,N,Unid,Unid,0,in,estimate,0,lb,estimate,N,NA,NA,NA,NA,NA,NA,NA,extensive scavenger damage,NA,Harbor porpoise,Inland_WA,48.14144159,-124.1882836,-0.617243642,-0.00149841,-123.57104,48.14294
Clallam,NW-2015-1176913,JDF24AUG15A,15NWR08035,"Porpoise, unidentified phocoenidae",NA,NA,Validated,Public,Feiro Marine Life Center,Feiro Marine Life Center,NW,Port Angeles,WA,Pacific Ocean,2052 Place Rd - behind house about 5 min walk from mouth of Elwha River,48.141856,decimal degrees,estimate,-123.572578,estimate,Internet,N,CBD,2015-AUG-24,2015,AUG,24,Beach or Land,NA,Advanced Decomposition,N,2015-AUG-24,2015,AUG,24,Advanced Decomposition,N,Unid,Unid,60,in,estimate,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unidentified,Inland_WA,48.14144159,-124.1882836,-0.615705642,-0.00041441,-123.572578,48.141856
Clallam,NW-2014-1158998,MKH2014-002,14NWR03037,"Dolphin, striped",Stenella,coeruleoalba,Validated,Adrianne Akmajian,Makah Fisheries Management,Makah Fisheries Management,NW,Neah Bay,WA,Pacific Ocean,Tsoo-Yess Beach,48.3049,dd.dddd,estimate,-124.6643,estimate,Internet/Software,N,CBD,2014-MAR-17,2014,MAR,17,Beach or Land,NA,Fresh Dead,N,2014-MAR-17,2014,MAR,17,Fresh Dead,N,Male,Adult,202,cm,actual,NA,NA,NA,Y,complete,fresh,2014-MAR-18,2014,MAR,18,MFM,"Reported 17-Mar-14 by Frankie Gonzales around 6:30PM. AA and JS responded. Fresh dead and mid-tide line. Jaw appeared split/degloved, scavenging around. Scratched along skin near head and left side body, some rake marks and scars present, froth coming from blowhole. Feces coming from rectum. Dark circular ""bruises"" on left and right flanks. Returned morning of 18-Mar for necropsy. External Comments: Scratches/rake marks particularly around left body, pec fin, and head, minimal scaring right side body. At response, scavenging left fluke, scavenging (moderate) left side head, left eye scavenged, left pec fin scavenged, dorsal fin tip scavenged. Think scratches on body mostly post-mortem (no hemorrhage underneath). Case Summary Necropsy: OPEN: Kidney extensive emphysema/crepitus around; 100 mL fluid in thoracic cavity; lungs aerated/spongy and right lung congested; based on other strandings of striped dolphin in Oregon and possibility of live stranding/drowning suspect possible Brucella or other infectious agent. Lab Results MICROSCOPIC: Central nervous system: Moderate to marked, lymphocytic inflammation is present primarily around blood vessels throughout the meninges of the spinal cord and brain and around blood vessels and Virchow-Robins spaces of the brain at all levels and in the white matter and gray matter tracts of the spinal cord. Inflammation also extends into and along the root ganglia. Some mild myelinic edema is noted in the white matter tracts primarily in the ventrolateral region of the spinal cord and in some of the root ganglia. Lymph node: Mild eosinophilic inflammation is in the medullary sinuses. Lung: The parenchyma is congested and edematous, and a single small focus of lymphohistiocytic/eosinophilic inflammation surrounds a bronchiole. Liver: Mild portal infiltrates of lymphocytes and eosinophils are noted. The following tissues are histologically within normal limits: kidney. HISTOPATHOLOGIC DIAGNOSIS: 1. Marked nonsuppurative meningoencephalomyelitis and root ganglioneuritis. 2. Acute pulmonary congestion and edema. 3. Mild eosinophilic inflammation, liver, lymph node, and lung. COMMENT: Histologic findings are consistent with an infectious disease process that has a tropism for the central nervous system. The morphologic features and distribution of the lesion are most suggestive of viral infection. The lesion lacks the microglial nodule formation typically associated with protozoan infection and the suppurative components typically associated with most bacterial infections. No viral inclusions are seen in any of the sections. This is a case in which immunohistochemistry and PCR are indicated to screen for some of the important viral infections and protozoan infections that occur in cetaceans. Please notify the laboratory if you would like ancillary procedures performed. This animal has acute features in the lung that are consistent with drowning. It has some mild eosinophilic inflammation in various tissues typical of the parasitism that is commonly encountered in while cetaceans and pinnipeds. No parasites are seen in the sections. Addendum, 3/31/14: Following email discourse with multiple participants, it is understood that the morbillivirus PCR and viral culture procedures are pending at U.C. Davis, and that pending these results, PCR and IHC from paraffin block for pathogens may be indicated. I have reviewed pathology reports (but not slides) for similar striped dolphin submissions to other institutions and suggest that these cases may represent the same disease process. UC Davis Results 4/14/2014: Negative for Morbillivirus testing. NVSL Brucella culture 4/28/2014: Culture positive in brain tissue but not lung. Addendum, 5/21/14: As per your request, block 2 has been forwarded for Brucella PCR (USDA). An addendum will follow. IHC results via NW Zoopath 8/12/2014: Negative for Brucella.",NA,Striped dolphin,Inland_WA,48.14144159,-124.1882836,0.476016358,-0.16345841,-124.6643,48.3049
Clallam,NW-2002-1027200,NW-4754,02NWR03001,"Porpoise, harbor",Phocoena,phocoena,Validated,M. Brancato,NA,Olympic Coast NMS,NW,Port Angeles,WA,NA,Edig Hook - Bayside,NA,NA,NA,NA,NA,NA,NA,N,2002-MAR-12,2002,MAR,12,NA,NA,Fresh Dead,N,2002-MAR-12,2002,MAR,12,Advanced Decomposition,N,Male,Unid,130,cm,actual,100,lb,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Harbor porpoise,Inland_WA,48.14144159,-124.1882836,NA,NA,-124.1882836,48.14144159
Clallam,NW-2001-1024227,Dng-01-002,NMFSNW-1979,"Porpoise, harbor",Phocoena,phocoena,Validated,NMFS,NA,Unknown,NW,Port Angeles,WA,NA,Dungeness Spit,NA,NA,NA,NA,NA,NA,NA,N,2001-JAN-07,2001,JAN,7,NA,NA,Fresh Dead,N,2001-JAN-17,2001,JAN,17,Advanced Decomposition,N,Male,Unid,155,cm,actual,350,lb,estimate,Y,NA,NA,NA,NA,NA,NA,Unknown,NA,1979,Harbor porpoise,Inland_WA,48.14144159,-124.1882836,NA,NA,-124.1882836,48.14144159
Clallam,NW-2018-1204630,CRC-1684,18NWR08016,"Porpoise, harbor",Phocoena,phocoena,Ready for Regional Validation,Erin Keene,Cascadia Research,Cascadia Research,NW,Neah Bay,WA,Pacific Ocean,NA,48.2508,decimal degrees,actual,-124.6916,actual,GPS,N,CBD,2018-AUG-04,2018,AUG,4,Beach or Land,NA,Moderate Decomposition,N,NA,NA,NA,NA,Moderate Decomposition,N,Unid,Calf,75,cm,estimate,0,NA,N,NA,NA,NA,NA,NA,"seen on 04 Aug but not reported until 9 Aug, photos not received until 12 Aug. No response.. scavenged around head and decomposed, jaws showing. Skin sloughing.. .",NA,NA,NA,NA,Harbor porpoise,Inland_WA,48.14144159,-124.1882836,0.503316358,-0.10935841,-124.6916,48.2508
Clallam,NW-2018-1204633,CRC-1669,18NWR07038,"Porpoise, harbor",Phocoena,phocoena,Ready for Regional Validation,Jessie Huggins,Cascadia Research,Cascadia Research,NW,La Push,WA,Pacific Ocean,2nd beach,47.8911,decimal degrees,estimate,-124.6281,estimate,Internet,N,CBD,2018-JUL-12,2018,JUL,12,Beach or Land,NA,Moderate Decomposition,N,NA,NA,NA,NA,Fresh Dead,N,Male,Unid,75,cm,estimate,0,NA,N,NA,NA,NA,NA,NA,no response due to age class and condition.. examined via photos only. Skin cracking and sloughing.. .,NA,NA,NA,NA,Harbor porpoise,Inland_WA,48.14144159,-124.1882836,0.439816358,0.25034159,-124.6281,47.8911
Clallam,NW-2004-1040071,04-CM-162,04NWR10004,"Porpoise, Dalls",Phocoenoides,dalli,Validated,Agency Biologist,Olympic Coast National Marine Sanctuary,Olympic Coast National Marine Sanctuary,NW,Port Angeles,WA,Strait of Juan de Fuca,inside boat harbor,NA,NA,NA,NA,NA,NA,NA,CBD,2004-OCT-09,2004,OCT,9,Beach or Land,NA,Advanced Decomposition,N,2004-OCT-11,2004,OCT,11,Advanced Decomposition,N,Unid,Adult,70,in,estimate,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dalls porpoise,Inland_WA,48.14144159,-124.1882836,NA,NA,-124.1882836,48.14144159
Clallam,NW-2013-1154805,MKH2013-007,13NWR05052,"Whale, unidentified baleen",unidentified,unidentified,Validated,Jonathan Scordino,Makah Fisheries Management,Makah Fisheries Management,NW,Neah Bay,WA,Pacific Ocean,Offshore,48.07,dd.dddd,actual,-125.2066,actual,GPS,N,CBD,2013-MAY-20,2013,MAY,20,Floating,NA,Moderate Decomposition,Y,NA,NA,NA,NA,Moderate Decomposition,N,Unid,Unid,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,Large dead whale reported to JS. Cell phone photo sent. Unable to ID species or assess condition or size.,NA,Unidentified,Inland_WA,48.14144159,-124.1882836,1.018316358,0.07144159,-125.2066,48.07
Clallam,NW-2011-1141678,11-CM-017,11NWR07108,"Porpoise, harbor",Phocoena,phocoena,Validated,K. Wilkinson,NOAA Fisheries,NOAA Fisheries,NW,Port Angeles,WA,Pacific Ocean,"Freshwater Bay County Park, Straight on Juan de Fuca",48.146967,decimal degrees,estimate,-123.641717,estimate,GPS,N,CBD,2011-JUL-07,2011,JUL,7,Beach or Land,NA,Moderate Decomposition,Y,NA,NA,NA,NA,NA,N,Unid,Adult,60,in,estimate,125,lb,estimate,N,NA,NA,NA,NA,NA,NA,NA,"Reported by member of the public, sent Juan de Fuca MMSN to the site to collect the carcass and it was gone when they arrived a couple of hours later.",NA,Harbor porpoise,Inland_WA,48.14144159,-124.1882836,-0.546566642,-0.00552541,-123.641717,48.146967
Clallam,NW-2008-1081271,CRC-890,08NWR08103,"Whale, humpback",Megaptera,novaeangliae,Validated,Jessie Huggins,Cascadia Research,Cascadia Research,NW,NA,WA,Pacific Ocean,"Cape Alava, just N of Canonball Island",48.1766,dd.dddd,NA,-124.7202,NA,GPS,N,Y,2008-AUG-14,2008,AUG,14,Beach or Land,NA,Moderate Decomposition,N,2008-AUG-14,2008,AUG,14,Moderate Decomposition,N,Male,Subadult,1070,cm,Estimated,0,NA,NA,Y,limited,fresh,2008-AUG-14,2008,AUG,14,CRC/Makah,Reported as fresh dead but rangers unable to send photos to confirm. Clearly not fresh. Possibly same as floating whale reported by the coast guard on 8 August.,CRC-890,Humpback whale,Inland_WA,48.14144159,-124.1882836,0.531916358,-0.03515841,-124.7202,48.1766
Clallam,NW-2001-1026274,NW-3877,NA,"Porpoise, harbor",Phocoena,phocoena,Validated,NMML,NA,Unknown,NW,Port Angeles,WA,NA,NE end of Eding Hook; USCG station,NA,NA,NA,NA,NA,NA,NA,N,2001-MAY-17,2001,MAY,17,NA,NA,Fresh Dead,N,2001-MAY-17,2001,MAY,17,Moderate Decomposition,N,Male,Unid,135,cm,actual,90,lb,estimate,Y,NA,NA,NA,NA,NA,NA,Unknown,NA,3877,Harbor porpoise,Inland_WA,48.14144159,-124.1882836,NA,NA,-124.1882836,48.14144159
Clallam,NW-2003-1000781,OCNMS03Pp01,03NWR05008,"Porpoise, harbor",Phocoena,phocoena,Validated,M. Brancato,Olympic Coast National Marine Sanctuary,Olympic Coast National Marine Sanctuary,NW,Port Angeles,WA,Strait of Juan de Fuca,Discovery Trail E of MP2 at River Delta/Bridge,NA,NA,NA,NA,NA,NA,NA,N,2003-MAY-09,2003,MAY,9,Beach or Land,NA,Moderate Decomposition,N,2003-MAY-09,2003,MAY,9,Moderate Decomposition,N,Male,Adult,146,cm,actual,40,kg,actual,Y,NA,NA,2003-JUL-22,2003,JUL,22,"Raverty, Gaydos, Norman, Fleetwood",head necropsied 7/22/03; body necropsied 7/23/03; head was CT scanned on 7/20/03,NA,Harbor porpoise,Inland_WA,48.14144159,-124.1882836,NA,NA,-124.1882836,48.14144159
Clatsop,NW-2016-1188732,PSU16-03-02-Pp,16NWR03037,"Porpoise, harbor",Phocoena,phocoena,Validated,Debbie Duffield,Portland State University,Portland State University,NA,Rockaway Beach,OR,Pacific,just south of NW 15th Avenue,45.62915,dd.dddd,actual,-123.94366,NA,GPS,N,CBD,2016-MAR-02,2016,MAR,2,Beach or Land,NA,Advanced Decomposition,N,2016-MAR-06,2016,MAR,6,Advanced Decomposition,N,Female,Unid,0,cm,estimate,0,kg,NA,Y,PSU,N,2016-APR-05,2016,APR,5,Duffield et al.,NA,NA,Harbor porpoise,OR_Coast,46.02200622,-123.9503672,-0.006707247,0.392856222,-123.94366,45.62915
Clatsop,NW-2017-1198718,PSU17-11-16-Sc,17NWR11012,"Dolphin, striped",Stenella,coeruleoalba,Ready for Regional Validation,D. Duffield,Portland State University,Portland State University,NA,Hammond,OR,Pacific Ocean,"South Jetty, Fort Stevens State Park",46.22482,decimal degrees,actual,-124.01016,actual,GPS,NA,Y,2017-NOV-16,2017,NOV,16,Beach or Land,NA,Fresh Dead,NA,2017-NOV-16,2017,NOV,16,Fresh Dead,NA,Male,Subadult,194,cm,actual,NA,NA,notMeasured,Y,PSU,N,2017-Nov-19,2017,NOV,19,"Duffield, D'Alessandro et al.",lacerations and abrasions on the animal; the dolphin had good body condition; chronic-active lymphocytic meningoencephalitis per histopathology,NA,Striped dolphin,OR_Coast,46.02200622,-123.9503672,0.059792753,-0.202813778,-124.01016,46.22482
